receipt_id,po_id,supplier_id,received_date,qty_ordered,qty_received,qty_rejected,on_time,in_full
GR-00001,PO-00001,SUP-006,2024-09-25,122,122,0,True,True
GR-00002,PO-00002,SUP-023,2024-03-31,125,125,0,False,True
GR-00003,PO-00003,SUP-019,2024-08-04,30,30,0,True,True
GR-00004,PO-00004,SUP-009,2024-08-09,1867,1867,0,True,True
GR-00006,PO-00006,SUP-006,2025-03-15,172,172,0,True,True
GR-00007,PO-00007,SUP-046,2025-02-24,241,241,0,True,True
GR-00009,PO-00009,SUP-001,2024-08-27,30,30,0,True,True
GR-00010,PO-00010,SUP-031,2025-06-25,101,101,0,True,True
GR-00011,PO-00011,SUP-007,2025-10-08,18,18,0,True,True
GR-00012,PO-00012,SUP-006,2024-12-24,153,153,0,True,True
GR-00013,PO-00013,SUP-031,2025-08-11,114,114,0,True,True
GR-00014,PO-00014,SUP-012,2024-05-11,23,23,0,True,True
GR-00015,PO-00015,SUP-021,2024-04-20,45,45,0,True,True
GR-00016,PO-00016,SUP-035,2025-06-01,52,52,0,True,True
GR-00017,PO-00017,SUP-009,2024-11-17,853,853,0,True,True
GR-00018,PO-00018,SUP-039,2024-03-30,141,141,0,True,True
GR-00019,PO-00019,SUP-006,2024-11-26,128,128,0,True,True
GR-00020,PO-00020,SUP-009,2025-11-26,707,707,0,True,True
GR-00021,PO-00021,SUP-031,2025-10-24,79,79,0,True,True
GR-00022,PO-00022,SUP-031,2024-12-24,60,60,0,True,True
GR-00023,PO-00023,SUP-031,2024-08-29,143,143,0,True,True
GR-00024,PO-00024,SUP-001,2024-05-06,29,29,0,True,True
GR-00025,PO-00025,SUP-031,2024-09-11,63,63,0,True,True
GR-00026,PO-00026,SUP-031,2025-10-26,164,164,0,True,True
GR-00027,PO-00027,SUP-006,2024-10-25,69,69,0,True,True
GR-00028,PO-00029,SUP-050,2025-11-09,17,17,0,True,True
GR-00029,PO-00030,SUP-001,2025-12-05,65,65,0,True,True
GR-00030,PO-00031,SUP-031,2025-06-14,107,107,0,True,True
GR-00032,PO-00033,SUP-006,2024-11-24,56,56,0,True,True
GR-00036,PO-00037,SUP-031,2024-05-16,134,134,0,True,True
GR-00037,PO-00038,SUP-031,2025-08-30,81,81,0,True,True
GR-00038,PO-00039,SUP-006,2024-05-08,124,124,3,True,True
GR-00039,PO-00040,SUP-006,2025-07-26,125,125,0,True,True
GR-00040,PO-00041,SUP-035,2024-03-06,104,104,0,True,True
GR-00042,PO-00043,SUP-007,2025-03-27,28,28,0,True,True
GR-00043,PO-00044,SUP-031,2024-01-23,107,107,0,True,True
GR-00044,PO-00045,SUP-031,2025-11-28,121,121,0,True,True
GR-00046,PO-00048,SUP-037,2026-02-25,670,670,0,True,True
GR-00047,PO-00049,SUP-027,2024-07-07,8,8,0,True,True
GR-00048,PO-00050,SUP-001,2025-08-12,24,21,0,False,False
GR-00049,PO-00051,SUP-006,2024-02-03,195,195,0,True,True
GR-00050,PO-00052,SUP-006,2024-04-13,124,124,0,True,True
GR-00051,PO-00053,SUP-031,2024-10-26,88,88,0,True,True
GR-00052,PO-00054,SUP-029,2025-05-12,22,17,0,False,False
GR-00053,PO-00055,SUP-006,2025-03-19,34,34,0,True,True
GR-00054,PO-00056,SUP-009,2026-02-18,815,815,0,True,True
