line_id,po_id,item_name,category,standard_cost,unit_price,quantity,line_total
LI-000001,PO-00001,Cutting Disc 4.5in,mro,1034.6268,1188.4033,47,55854.9551
LI-000002,PO-00001,Replacement Seal Kit,mro,1014.4032,853.9613,12,10247.5356
LI-000003,PO-00001,Grease Cartridge EP2,mro,156.2254,178.8707,44,7870.3108
LI-000004,PO-00001,Cutting Disc 4.5in,mro,213.843,179.0816,19,3402.5504
LI-000005,PO-00002,Chain Lubricant 1gal,mro,147.085,162.8811,43,7003.8873
LI-000006,PO-00002,O-Ring Kit Viton,mro,255.208,248.373,32,7947.936
LI-000007,PO-00002,Wire Brush Set,mro,230.2106,212.9048,14,2980.6672
LI-000008,PO-00002,V-Belt B68,mro,204.4686,171.1024,36,6159.6864
LI-000009,PO-00003,Cleaning Contract Monthly,services,823.0723,988.6106,9,8897.4954
LI-000010,PO-00003,Software License Annual,services,679.0252,656.8794,5,3284.397
LI-000011,PO-00003,Cleaning Contract Monthly,services,1623.3473,1941.6536,8,15533.2288
LI-000012,PO-00003,Consulting Day Rate,services,411.2786,427.1145,8,3416.916
LI-000013,PO-00004,Steel Billet Grade A,direct_materials,1675.1961,1661.8796,179,297476.4484
LI-000014,PO-00004,Aluminum Sheet 6061,direct_materials,2795.6873,2914.976,178,518865.728
LI-000015,PO-00004,Polypropylene Resin,direct_materials,1466.8797,1487.325,269,400090.425
LI-000016,PO-00004,Aluminum Sheet 6061,direct_materials,4579.3075,4650.6736,475,2209069.96
LI-000017,PO-00004,Carbon Fiber Roll,direct_materials,1530.5752,1521.6382,447,680172.2754
LI-000018,PO-00004,Nylon Pellets 50lb,direct_materials,799.135,801.5251,319,255686.5069
LI-000019,PO-00005,Bearing 6205-2RS,mro,837.1165,863.2427,48,41435.6496
LI-000020,PO-00005,Wire Brush Set,mro,1080.401,1035.4384,12,12425.2608
LI-000021,PO-00006,Cutting Disc 4.5in,mro,1339.5815,1612.4025,37,59658.8925
LI-000022,PO-00006,Replacement Seal Kit,mro,1449.0992,1552.6552,19,29500.4488
LI-000023,PO-00006,Grease Cartridge EP2,mro,1904.9172,2115.8277,31,65590.6587
LI-000024,PO-00006,O-Ring Kit Viton,mro,929.9749,917.1328,48,44022.3744
LI-000025,PO-00006,O-Ring Kit Viton,mro,1138.6022,1145.3483,3,3436.0449
LI-000026,PO-00006,Safety Gloves Nitrile L,mro,752.0335,680.2805,34,23129.537
LI-000027,PO-00007,Stainless Plate 304,direct_materials,1996.0841,1997.6928,139,277679.2992
LI-000028,PO-00007,Polypropylene Resin,direct_materials,259.1584,258.9025,102,26408.055
LI-000029,PO-00008,Aluminum Sheet 6061,direct_materials,1040.0552,1002.728,472,473287.616
LI-000030,PO-00008,Brass Fitting 3/4in,direct_materials,187.5874,188.1814,219,41211.7266
LI-000031,PO-00008,Polypropylene Resin,direct_materials,4636.4746,4644.936,456,2118090.816
LI-000032,PO-00008,Nylon Pellets 50lb,direct_materials,1207.4889,1251.2272,482,603091.5104
LI-000033,PO-00008,Titanium Rod 0.5in,direct_materials,1942.8714,2009.9987,393,789929.4891
LI-000034,PO-00009,PPE Restocking Kit,indirect,891.7962,996.3419,17,16937.8123
LI-000035,PO-00009,Printer Toner Set,indirect,1853.343,1852.7271,13,24085.4523
LI-000036,PO-00010,O-Ring Kit Viton,mro,1037.4438,1292.5992,44,56874.3648
LI-000037,PO-00010,Cutting Disc 4.5in,mro,1665.6414,2031.5002,42,85323.0084
LI-000038,PO-00010,Chain Lubricant 1gal,mro,506.9338,569.1857,15,8537.7855
LI-000039,PO-00011,Inspection & Audit Service,services,257.9328,308.6893,9,2778.2037
LI-000040,PO-00011,Technical Training Session,services,402.4582,445.8083,7,3120.6581
LI-000041,PO-00011,Waste Disposal Service,services,1498.2679,1174.1467,2,2348.2934
LI-000042,PO-00012,Grease Cartridge EP2,mro,748.4503,670.2942,48,32174.1216
LI-000043,PO-00012,V-Belt B68,mro,1846.9371,1732.2061,23,39840.7403
LI-000044,PO-00012,Chain Lubricant 1gal,mro,1965.9876,2190.3397,49,107326.6453
LI-000045,PO-00012,Safety Gloves Nitrile L,mro,610.8933,611.1207,32,19555.8624
LI-000046,PO-00012,Safety Gloves Nitrile L,mro,1878.2405,1980.3101,1,1980.3101
LI-000047,PO-00013,Grease Cartridge EP2,mro,854.778,765.9955,14,10723.937
LI-000048,PO-00013,Hydraulic Filter HF-200,mro,889.0619,854.5849,1,854.5849
LI-000049,PO-00013,O-Ring Kit Viton,mro,599.518,650.4964,35,22767.374
LI-000050,PO-00013,Hydraulic Filter HF-200,mro,1750.0075,1720.2962,41,70532.1442
LI-000051,PO-00013,Grease Cartridge EP2,mro,817.1064,804.9599,22,17709.1178
