po_id,supplier_id,business_unit,category,po_date,expected_delivery_date,total_value,payment_terms,status
PO-00001,SUP-006,logistics,mro,2024-09-20,2024-09-27,77375.35,net_30,closed
PO-00002,SUP-023,manufacturing,mro,2024-02-06,2024-03-19,24092.18,net_30,closed
PO-00003,SUP-019,it,services,2024-07-16,2024-08-06,31132.04,net_60,closed
PO-00004,SUP-009,manufacturing,direct_materials,2024-08-02,2024-08-10,4361361.34,net_60,closed
PO-00005,SUP-024,corporate,mro,2024-01-12,2024-02-06,53860.91,net_60,closed
PO-00006,SUP-006,manufacturing,mro,2025-03-10,2025-03-17,225337.96,net_30,closed
PO-00007,SUP-046,manufacturing,direct_materials,2025-01-31,2025-02-25,304087.35,net_30,closed
PO-00008,SUP-009,corporate,direct_materials,2025-03-20,2025-03-27,4025611.16,net_30,closed
PO-00009,SUP-001,it,indirect,2024-08-16,2024-08-27,41023.26,net_60,closed
PO-00010,SUP-031,facilities,mro,2025-06-19,2025-06-26,150735.16,net_60,closed
PO-00011,SUP-007,manufacturing,services,2025-09-30,2025-10-10,8247.16,net_30,closed
PO-00012,SUP-006,facilities,mro,2024-12-13,2024-12-25,200877.68,net_60,closed
PO-00013,SUP-031,manufacturing,mro,2025-07-29,2025-08-12,123333.02,net_60,closed
PO-00014,SUP-012,it,services,2024-04-18,2024-05-13,7336.0,net_30,closed
PO-00015,SUP-021,facilities,mro,2024-04-09,2024-04-20,21627.25,net_30,closed
PO-00016,SUP-035,manufacturing,mro,2025-05-20,2025-06-03,23888.15,net_60,closed
PO-00017,SUP-009,manufacturing,direct_materials,2024-11-12,2024-11-19,1542442.93,net_60,closed
PO-00018,SUP-039,it,mro,2024-03-14,2024-03-31,108920.97,net_30,closed
PO-00019,SUP-006,facilities,mro,2024-11-12,2024-11-26,84196.58,net_60,closed
PO-00020,SUP-009,logistics,direct_materials,2025-11-21,2025-11-28,713230.44,net_90,closed
PO-00021,SUP-031,manufacturing,mro,2025-10-19,2025-10-26,81090.72,net_30,closed
PO-00022,SUP-031,facilities,mro,2024-12-16,2024-12-24,24951.51,net_30,closed
PO-00023,SUP-031,facilities,mro,2024-08-18,2024-08-29,136170.61,net_90,closed
PO-00024,SUP-001,manufacturing,indirect,2024-04-25,2024-05-07,43491.18,net_60,closed
PO-00025,SUP-031,manufacturing,mro,2024-08-29,2024-09-11,28627.16,net_60,closed
PO-00026,SUP-031,manufacturing,mro,2025-10-16,2025-10-27,174248.28,net_30,closed
PO-00027,SUP-006,facilities,mro,2024-10-14,2024-10-26,74475.39,net_30,closed
PO-00028,SUP-031,facilities,mro,2025-03-27,2025-04-07,0.0,net_60,cancelled
PO-00029,SUP-050,facilities,indirect,2025-10-19,2025-11-09,19295.01,net_30,closed
PO-00030,SUP-001,facilities,indirect,2025-11-23,2025-12-06,129021.79,net_60,closed
PO-00031,SUP-031,manufacturing,mro,2025-06-01,2025-06-14,78135.24,net_90,closed
PO-00032,SUP-031,corporate,mro,2024-04-16,2024-04-30,156780.61,net_30,closed
PO-00033,SUP-006,manufacturing,mro,2024-11-17,2024-11-24,29758.5,net_90,closed
PO-00034,SUP-001,corporate,indirect,2024-12-20,2024-12-31,118475.81,net_30,closed
PO-00035,SUP-026,corporate,services,2024-02-29,2024-03-14,14367.07,net_60,closed
PO-00036,SUP-007,corporate,services,2025-01-24,2025-02-09,17335.61,net_30,closed
PO-00037,SUP-031,manufacturing,mro,2024-05-09,2024-05-18,167920.96,net_30,closed
PO-00038,SUP-031,it,mro,2025-08-20,2025-08-31,41582.72,net_60,closed
PO-00039,SUP-006,logistics,mro,2024-04-29,2024-05-10,61840.45,net_90,closed
PO-00040,SUP-006,manufacturing,mro,2025-07-14,2025-07-27,93254.42,net_30,closed
PO-00041,SUP-035,manufacturing,mro,2024-02-16,2024-03-08,48221.9,net_60,closed
PO-00042,SUP-026,corporate,services,2026-02-01,2026-02-21,21592.67,net_60,closed
PO-00043,SUP-007,facilities,services,2025-03-08,2025-03-27,19308.41,net_90,closed
PO-00044,SUP-031,manufacturing,mro,2024-01-17,2024-01-25,170650.07,net_60,closed
PO-00045,SUP-031,it,mro,2025-11-16,2025-11-30,107347.59,net_30,closed
PO-00046,SUP-043,it,direct_materials,2026-02-21,2026-03-08,1430489.78,net_60,open
PO-00047,SUP-006,corporate,mro,2024-12-30,2025-01-06,124559.87,net_30,closed
PO-00048,SUP-037,manufacturing,direct_materials,2026-02-03,2026-02-27,583079.86,net_30,closed
PO-00049,SUP-027,facilities,services,2024-06-12,2024-07-09,8328.59,net_30,closed
PO-00050,SUP-001,facilities,indirect,2025-07-24,2025-08-04,43688.45,net_30,closed
PO-00051,SUP-006,logistics,mro,2024-01-25,2024-02-03,248962.31,net_90,closed
PO-00052,SUP-006,manufacturing,mro,2024-04-01,2024-04-15,116221.07,net_30,closed
PO-00053,SUP-031,facilities,mro,2024-10-19,2024-10-27,136687.76,net_60,closed
PO-00054,SUP-029,manufacturing,services,2025-04-19,2025-05-07,18054.73,net_30,closed
PO-00055,SUP-006,manufacturing,mro,2025-03-12,2025-03-19,28619.62,net_60,closed
PO-00056,SUP-009,facilities,direct_materials,2026-02-10,2026-02-18,2660037.49,net_60,closed
PO-00057,SUP-035,corporate,mro,2025-02-10,2025-02-20,48805.89,net_30,closed
PO-00058,SUP-032,manufacturing,indirect,2025-10-27,2025-11-10,8981.67,net_30,closed
PO-00059,SUP-031,corporate,mro,2025-04-01,2025-04-09,156833.64,net_90,closed
PO-00060,SUP-031,manufacturing,mro,2025-02-03,2025-02-16,100076.84,net_30,closed
PO-00061,SUP-031,logistics,mro,2025-02-17,2025-02-26,88302.04,net_60,closed
PO-00062,SUP-006,facilities,mro,2026-01-25,2026-02-08,29357.09,net_60,closed
PO-00063,SUP-046,logistics,direct_materials,2024-01-23,2024-02-09,660376.41,net_60,closed
